	USP																							
CONCORDE DE LUXE RESORT	Viešbutis l?ktuvo formos, moderni architekt?ra, aukšto lygio gastronomija.																							
CONCORDIA CELES HOTEL	Papl?dimio viešbutis su geru kainos–kokyb?s santykiu ir šeimoms palankia aplinka.																							
CORENDON PLAYA KEMER	Modernus, spalvingas konceptas, šeimoms patogios pramogos ir vaik? klubai.																							
CORNELIA AZURE VILLAS	Išskirtin?s vilos su baseinais, VIP papl?dimys ir aukš?iausio lygio ramyb? toliau nuo pagrindinio viešbu?io judesio.																							
CORNELIA DIAMOND GOLF RESORT & SPA	Prabangus Beleko viešbutis su nuosavu golfo aikštynu, vilos su priva?iais baseinais.																							
COSTA BITEZHAN HOTEL	Mažas, jaukus Bodrumo viešbutis ant j?ros kranto, puikus pasirinkimas ramiam poilsiui.																							
COSTA LUVI HOTEL	Stilingas boutique tipo viešbutis su gražia ?lanka ir jaukia atmosfera.																							
CROWNE PLAZA HOTEL	Modernus viešbutis su aukštu komforto lygiu ir tarptautiniu serviso standartais.																							
CROWNE PLAZA OLD CITY	Prabangus Stambulo viešbutis istoriniame centre, idealiai tinka miesto pažinimui.																							
CRYSTAL ADMIRAL	Didelis vandens parkas, daug veikl? vaikams ir labai erdv?s baseinai – gerai šeimoms.																							
CRYSTAL AURA	Centrin? Kemerio vieta, stipri animacija ir sm?lio–žvyro papl?dimys.																							
CRYSTAL BOUTIQUE ADULT ONLY (16+)	Tik suaugusiems – ramyb?, privatum? užtikrinanti aplinka ir modern?s kambariai.																							
CRYSTAL CENTRO	Stilingas, modernus viešbutis su sm?lio papl?dimiu Antalijoje ir aktyvia atmosfera.																							
CRYSTAL CLUB WORLD OF COLOURS	Šeim? viešbutis su spalvinga infrastrukt?ra ir daug animacijos.																							
CRYSTAL DE LUXE	Patogioje Kemerio vietoje – geras papl?dimys ir kokybiškas maistas.																							
CRYSTAL FAMILY	Viešbutis su daug veikl? vaikams, vandens pramogomis ir šeimoms draugiška aplinka.																							
CRYSTAL FLORA /	Vienas gražiausi? Kemerio viešbu?i? gamtos apsuptyje – nuostabios ?lankos ir daug žalumos.																							
CRYSTAL PARAISO VERDE	Didelis basein? kompleksas ir plati teritorija, gerai tinka šeimoms.																							
CRYSTAL PRESTIGE	Prabangus viešbutis su ?sp?dingais kaln? vaizdais, dideliu papl?dimiu ir aukšta paslaug? kokybe.																							
CRYSTAL SUNSET	Itin didelis vandens parkas ir stipri animacija – viena geriausi? viet? šeimoms Side regione.																							
CRYSTAL TAT BEACH	Patogus papl?dimys, draugiška atmosfera ir greta esantis golfo klubas.																							
CRYSTAL WATERWORLD	Milžiniškas aquaparkas, daug restoran? ir energingas šeimyninis kurortas.																							
CULLINAN GOLF & RESORT BELEK	Moderniausias Belek viešbutis, VIP aptarnavimas, šiuolaikinis dizainas, aukšto lygio gastronomija.																							
DAIMA BIZ HOTEL	Teminis kompleksas „mažas miestas“, daugyb? veikl? vaikams, tinka aktyvioms šeimoms.																							
DAY ONE BEACH RESORT ADULT ONLY (18+)	Itin modernus, suaugusiems skirtas viešbutis su papl?dimiu, stilingais kambariais ir aukštu komforto lygiu.																							
DEDEMAN KEMER RESORT	Klasikinis Kemerio viešbutis, labiau tinkantis ramesniam por? poilsiui.																							
DELPHIN BE GRAND RESORT	Didžiulis kompleksas Laroje, pla?ios pramog? galimyb?s šeimoms ir prabangus aptarnavimas.																							
DELPHIN DELUXE RESORT	Labai populiarus šeim? ir ne tik viešbutis Alanijoje, išskirtin? aptarnavimo kokyb?.																							
DELPHIN DIVA PREMIERE	Rafinuotas Laroje ?sik?r?s viešbutis, stipri gastronomija ir animacija.																							
DELPHIN IMPERIAL	Viena ?sp?dingiausi? architekt?r? Laroje, prabanga ir didel? teritorija.																							
DELPHIN PALACE LARA	Klasikinis prabangus viešbutis Laroje, aukštas serviso lygis ir virtuv?.																							
DER INN HOTEL KONYAALTI	Modernus miesto viešbutis netoli Konyaalti papl?dimio – gera lokacija ir švar?s kambariai.																							
DESIGN PLUS SEYA BEACH	Stilingas dizaino viešbutis Bodrume su nuostabia ?lanka ir modernia, jaunatviška atmosfera.																							
DIAMOND HILL RESORT HOTEL	Geri panoraminiai vaizdai, patog?s numeriai ir malonus kainos–kokyb?s santykis.																							
DIAMOND OF BODRUM	Miesto viešbutis Bodrume su panoraminiais vaizdais ? j?r?, tinkamas poroms.																							
DIONISUS HOTEL	Mielas ir jaukus viešbutis su patogia vieta poilsiui arti papl?dimio.																							
DIZALYA PALM GARDEN HOTEL	Modernus viešbutis su erdviais kambariais, patogus šeimoms, baseinai ir animacija.																							
DOBEDAN BEACH RESORT COMFORT	Plati šeimoms pritaikyta infrastrukt?ra, baseinai, animacija ir papl?dimys prie pat viešbu?io.																							
DOBEDAN EXCLUSIVE HOTEL & SPA	Išskirtinis prabangus variantas su SPA akcentu, modernus dizainas.																							
DOBEDAN WORLD PALACE	?sp?dinga architekt?ra, didel? teritorija su vandens parku, šeimoms draugiška koncepcija.																							
DOSI HOTEL	Ekonomiškas ir tvarkingas poilsio variantas su draugiška atmosfera.																							
DOSINIA LUXURY RESORT	Modernus viešbutis ramioje vietoje su gražia ?lanka ir kokybiška infrastrukt?ra.																							
DOSSO DOSSI DOWNTOWN	Stilingas miesto viešbutis su puikia SPA zona ir patogia vieta Stambule.																							
DOSSO DOSSI LALELI	Geras miesto viešbu?io pasirinkimas už prieinam? kain? netoli senamies?io.																							
DOSSO DOSSI OLD CITY HOTEL	Puiki vieta Sultanahmet rajone – idealu Stambulo pažinimui.																							
DOSSO DOSSI YENIKAPI	Paprastas, tvarkingas viešbutis miesto sve?iams, norintiems geros lokacijos.																							
DOUBLE TREE BY HILTON ANTALYA CITY CENTRE	Aukšto lygio verslo ir poilsio viešbutis su erdviais kambariais ir moderniu interjeru.																							
DOUBLE TREE BY HILTON BODRUM ISIL CLUB RESORT	Tarptautinio tinklo kokyb?, Bodrumo ?lankoje, VIP poilsis.																							
DOUBLETREE BY HILTON ANTALYA CITY CENTER	Modernus viešbutis miesto centre su Hilton serviso standartais.																							
DOUBLETREE BY HILTON ANTALYA KEMER	Tarptautinis prekinis ženklas, modernus dizainas, stipri miesto + papl?dimio kombinacija.																							
DRAGUT POINT NORTH HOTEL	Paprastas, patogus viešbutis arti papl?dimio, biudžetinis pasirinkimas Bodrume.																							
DRAGUT POINT SOUTH HOTEL	Arti j?ros kranto, ekonomiškas variantas šeimoms Bodrume.																							
DREAM OF SIDE	Nedidelis viešbutis su draugiška atmosfera, tinka šeimoms, ieškan?ioms ekonomiško poilsio Side regione.																							
DRITA HOTEL RESORT & SPA	J?ros pakrant?je su gerais baseinais ir šeimoms tinkama infrastrukt?ra.																							
DUCALE LARA	Naujas ir modernus viešbutis Lara rajone su stilingais kambariais ir geru aptarnavimu.																							
DUJA BODRUM	Prabangus Bodrumo viešbutis su nuosavu papl?dimiu, stilinga architekt?ra.																							
DUJA DIDIM	Naujas Didimo viešbutis su pla?ia infrastrukt?ra šeimoms, daug pramog? vaikams.																							
EFTALIA AQUA RESORT HOTEL	Šeim? rojus – daugyb? vandens kalneli?, didel? teritorija ir prieiga prie Eftalia Island pramog?.																							
EFTALIA DOWNTOWN HOTEL	Centrin? vieta Alanyos mieste, moder?s kambariai ir puiki prieiga prie papl?dimio.																							
EFTALIA MARIN HOTEL	J?rinio stiliaus interjeras, didelis basein? pasirinkimas ir patogus pri?jimas prie Eftalia Island.																							
EFTALIA OCEAN HOTEL	Didžiulis kompleksas su vandens parku ir šeimoms skirta infrastrukt?ra.																							
EFTALIA SPLASH RESORT	Puikus pasirinkimas šeimoms – vandens ?iuožyklos, aktyvios pramogos ir didel?s žaidim? erdv?s vaikams.																							
EFTALIA VILLAGE	Didel?, kaimelio tipo teritorija su daug žalumos ir šeimoms pritaikytais numeriais.																							
ELA EXCELLENCE RESORT BELEK	Naujos kartos prabanga Beleke, erdvios vilos, stipri šeim? bei por? infrastrukt?ra.																							
ELAMIR BEACH BUNGALOW	Rami, jauki bungalow koncepcija tik keliais žingsniais nuo papl?dimio – idealu poroms.																							
ELAMIR RESORT HOTEL	Kompaktiška teritorija, geras kainos ir kokyb?s santykis bei patogi vieta netoli Kemero.																							
ELAN HOTEL	Paprastas, ekonomiškas poilsio variantas arti papl?dimio.																							
ELDAR GARDEN RESORT HOTEL	Ekonomiškas Kemerio viešbutis, paprastas pasirinkimas šeimoms.																							
ELDAR RESORT	Kompaktiškas, šeimoms pritaikytas viešbutis Kemere, baseinai su kalneliais.																							
ELEGANCE HOTELS INTERNATIONAL	Marmario prabangos simbolis, elegantiškas interjeras, istorinis viešbu?io prestižas.																							
ELIJAH HOTEL KEMER	Mažas biudžetinis viešbutis Kemeryje, tinkamas poroms.																							
ELITE LUXURY SUITE & SPA HOTEL	Naujas, modernus viešbutis, erdv?s apartamentai, orientuotas ? prabang? SPA poils?.																							
ELITE WORLD MARMARIS HOTEL ADULT ONLY (16+)	Suaugusi?j? viešbutis su stilingu dizainu, puikiu servisu ir jaukia atmosfera.																							
ELYSEE RIVE HOTEL	Modernus miesto ir papl?dimio derinys, patogus variantas aktyviems keliautojams.																							
ELYSIUM ELITE HOTEL & SPA	Nedidelis viešbutis su SPA paslaugomis, patogus ekonomiškas variantas šeimoms.																							
EMILY ROSE HOTEL	Šeimoms tinkamas viešbutis su ramiu baseinu ir tvarkinga aplinka.																							
EN VIE BEACH BOUTIQUE HOTEL	Stilingas, boutique tipo viešbutis ant papl?dimio – idealiai tinka poroms.																							
EOS BEACH RESORT HOTEL	Puiki papl?dimio vieta, erdvi teritorija ir ramybei tinkantis poilsis.																							
EPHESIA HOLIDAY BEACH CLUB	Didel? teritorija prie j?ros, šeim? m?gstama infrastrukt?ra su vandens kalneliais.																							
EPHESIA RESORT HOTEL	Moderniai atnaujintas viešbutis su kokybiška virtuve ir erdviomis bendromis zonomis.																							
ERESIN TOPKAPI HOTEL	Stilingas miesto viešbutis Stambule su puikiu SPA ir patogia lokacija.																							
ERGUN HOTEL	Tvarkingas, paprastas variantas norintiems apsistoti Alanyos centre.																							
ERKAL RESORT HOTEL	Nedidelis, biudžetinis viešbutis Kemeryje, paprastas šeim? poilsiui.																							
ESMA CLOVE RESORT & SPA	Ekonominis pasirinkimas su jaukia aplinka ir draugišku personalu.																							
ETHNO BELEK	Unikali koncepcija – prabanga su turkiško paveldo elementais, erdvi teritorija ir aukšto lygio aptarnavimas.																							
EUPHORIA BARBAROSS BEACH RESORT	Didel?, žaluma apsupta teritorija su pla?iu papl?dimiu ir daug vietos ramiam poilsiui.																							
EUPHORIA COMFORT BEACH ALANYA	Modern?s numeriai, geras papl?dimys ir patogi vieta šeimoms bei poroms.																							
EUPHORIA PALM BEACH RESORT	Didel? teritorija su sodais, erdvios šeimynin?s erdv?s ir sm?lio papl?dimys.																							
EVA BEACH HOTEL	Kompaktiškas viešbutis ant j?ros kranto, ekonomiškas pasirinkimas poroms.																							
FALCON HOTEL	Ant uolos virš j?ros Antalijoje, arti centro, šeimoms patogu derinti poils? ir ekskursijas.																							
FAME BEACH HOTEL	Centrin? vieta prie papl?dimio, tinkamas poroms ir ramiam poilsiui.																							
FAME HOTEL	Ekonomiškas miesto variantas su greitu susisiekimu ir tvarkinga aplinka.																							
FANTASIA HOTEL DE LUXE KUSADASI	Didel? teritorija, ramus prabangus poilsis ir stiprus maisto pasirinkimas.																							
FAROS PREMIUM BEACH	Naujas, modernus viešbutis Didime su stilingais kambariais ir gražiu papl?dimiu.																							
FASHIONTV LUXE RESORT	Stilingas ir prabangus viešbutis su FashionTV ženklu, išskirtin? koncepcija ir naktinis gyvenimas.																							
FAUSTINA HOTEL & SPA	Ramus paj?rio viešbutis su SPA ir gražiu vaizdu ? pakrant?.																							
FELICE HOTEL	Tvarkingas ir ekonomiškas variantas Kemere, arti papl?dimio.																							
FIRST CLASS HOTEL	Alanijos viešbutis, tinkamas šeimoms, geras kainos/kokyb?s santykis.																							
FLORA GARDEN BEACH ADULT ONLY (16+)	Populiarus viešbutis Manavgate, romantiškas suaugusi?j? poilsis su privatumu.																							
FLORA HOTEL	Paprastas viešbutis Bodrume, labiau tinkamas ramesn?ms por? atostogoms.																							
FLORIA BEACH HOTEL	Jaukus mažesnis viešbutis su gražia pakrante ir ramesne aplinka.																							
FORE RESORT & SPA	Naujas, modernus resortas su aukšta maisto kokybe ir erdviu SPA centru.																							
FOREST IN HOTEL	Ekonomiškas ir ramus variantas gamtos apsuptyje.																							
GALAXY BEACH HOTEL	Paprastas Alanijos viešbutis su šeimoms tinkamais kambariais ir baseinais.																							
GALERI RESORT HOTEL	Didelis papl?dimys, daug pramog? ir šeimoms pritaikyta infrastrukt?ra.																							
GARDEN OF SUN HOTEL SPA & WELLNESS	Erdv?s numeriai ir didel? SPA zona – tinka ieškantiems ramaus poilsio.																							
GARDEN PARK BELDIBI HOTEL	Nedidelis, biudžetinis viešbutis Kemeryje, tinkamas šeimoms.																							
GET ENJOY HOTEL	Modernus viešbutis, geras kainos ir kokyb?s santykis bei patog?s kambariai.																							
GLEAM BOMONTI HOTEL	Stilingas miesto viešbutis Stambule – puikus pasirinkimas aktyviems keliautojams.																							
GLORIA GOLF RESORT	Žali sodai, ramyb?, puikus servisas ir išskirtin? kokyb? šeimoms bei poroms.																							
GLORIA SERENITY RESORT	Boutique prabanga ir privatumas, vilos su priva?iais baseinais, rafinuota virtuv?, puikus aptarnavimas.																							
GLORIA VERDE RESORT	Kompaktiškas, patogus šeimoms su mažesniais vaikais, talasoterapijos ir SPA kryptis, rami atmosfera.																							
GOLDEN HORN SIRKECI	Puiki vieta Stambulo centre, patogu miesto pažinimui.																							
GOLDEN RING OF TURKEY AND CAPPADOCIA	Patikrinta kokyb? kelioni? maršrutams su komfortiškais nakvyn?s standartais.																							
GRANADA LUXURY BEACH	Modernus, stilingas ir šeimoms draugiškas viešbutis su gražiu papl?dimiu.																							
GRANADA LUXURY BELEK	Milžiniška teritorija, ?sp?dingos pramogos vaikams ir stiprus pasirinkimas aktyviam šeim? poilsiui.																							
GRANADA LUXURY OKURCALAR	Didžiulis kompleksas su vandens kalneliais, šou programa ir modernia infrastrukt?ra.																							
GRANADA LUXURY RED ADULT ONLY (16+)	Stilingas prabangus viešbutis Bodrume, tik suaugusiems, ypatinga dizaino koncepcija.																							
GRAND ALISA HOTEL (EX. ROYALISA HOTEL)	Miesto viešbutis Alanijoje, labiau tinkamas poroms.																							
GRAND BAHAMA BEACH	Ekonominis pakrant?s variantas su tiesiogine prieiga prie papl?dimio.																							
GRAND BARHAN HOTEL	Švarus, tvarkingas viešbutis su patogia lokacija aktyviems keliautojams.																							
GRAND CORTEZ RESORT HOTEL & SPA	Naujas kompleksas su pla?ia SPA zona, prabangus interjeras.																							
GRAND EMIR HOTEL	Paprastas, tvarkingas variantas nebrangiam poilsiui netoli papl?dimio.																							
GRAND HOTEL DERIN	Jauki, kompaktiška teritorija ir patogi vieta Kemere.																							
GRAND KAPTAN HOTEL	Viešbutis ?vairiems klientams, su nuosavu papl?dimiu (per požemin? per?j?), 4km iki Alanijos miesto.																							
GRAND KOLIBRI PRESTIGE & SPA	Naujas Alanijos viešbutis su erdviais kambariais, tinkamas šeimoms.																							
GRAND LIZA HOTEL	Ekonomiškas variantas Stambule su paprastais, švariais kambariais.																							
GRAND MARK HOTEL	Paprastas miesto viešbutis netoli istorinio Stambulo centro.																							
GRAND MIR`AMOR HOTEL	Kompaktiškas viešbutis su baseinais ir animacija, patogus šeimoms.																							
GRAND NAR HOTEL ADULT ONLY (16+)	Rami suaugusi?j? zona, tvarkinga teritorija ir jauk?s numeriai.																							
GRAND OKAN HOTEL	Populiarus viešbutis ant Kleopatros papl?dimio – puiki lokacija ir kokybiška atmosfera.																							
